HPO编号	名称(英文)	名称(中文)	定义(英文)	定义(中文)
HP:0000264	Abnormality of the mastoid	乳突异常	An abnormality of the mastoid process, which is the conical prominence projecting from the undersurface of the mastoid portion of the temporal bone.	校对中...
HP:0000265	Mastoiditis	乳突炎		
HP:0000267	Cranial asymmetry	颅骨不对称	Asymmetry of the bones of the skull.	校对中...
HP:0000268	Dolichocephaly	长头畸形	An abnormality of skull shape characterized by a increased anterior-posterior diameter, i.e., an increased antero-posterior dimension of the skull. Cephalic index less than 76%. Alternatively, an apparently increased antero-posterior length of the head compared to width. Often due to premature closure of the sagittal suture.	校对中...
HP:0000269	Prominent occiput	枕骨突出	Increased convexity of the occiput (posterior part of the skull).	校对中...
HP:0000270	Delayed cranial suture closure	颅缝闭合延迟	Infants normally have two fontanels at birth, the diamond-shaped anterior fontanelle at the junction of the coronal and sagittal sutures, and the posterior fontanelle at the intersection of the occipital and parietal bones. The posterior fontanelle usually closes by the 8th week of life, and the anterior fontanel closes by the 18th month of life on average. This term applies if there is delay of closure of the fontanelles beyond the normal age.	校对中...
HP:0000271	Abnormality of the face	脸部异常	An abnormality of the face.	校对中...
HP:0000272	Malar flattening	颧骨扁平	Underdevelopment of the malar prominence of the jugal bone (zygomatic bone in mammals), appreciated in profile, frontal view, and/or by palpation.	校对中...
HP:0000273	Facial grimacing	面部表情痛苦		
HP:0000274	Small face	小脸	A face that is short (HP:0011219) and narrow (HP:0000275).	校对中...
HP:0000275	Narrow face	脸狭窄	Bizygomatic (upper face) and bigonial (lower face) width are both more than 2 standard deviations below the mean (objective); or, an apparent reduction in the width of the upper and lower face (subjective).	校对中...
HP:0000276	Long face	长脸	Facial height (length) is more than 2 standard deviations above the mean (objective); or, an apparent increase in the height (length) of the face (subjective).	校对中...
HP:0000277	Abnormality of the mandible	下颌骨异常	Any abnormality of the mandible, the bone of the lower jaw.	校对中...
HP:0000278	Retrognathia	下颌后缩	An abnormality in which the mandible is mislocalised posteriorly.	校对中...
HP:0000280	Coarse facial features	面容粗糙	Absence of fine and sharp appearance of brows, nose, lips, mouth, and chin, usually because of rounded and heavy features or thickened skin with or without thickening of subcutaneous and bony tissues.	校对中...
HP:0000282	Facial edema	面部水肿		
HP:0000283	Broad face	宽脸	Bizygomatic (upper face) and bigonial (lower face) width greater than 2 standard deviations above the mean (objective); or an apparent increase in the width of the face (subjective).	校对中...
HP:0000286	Epicanthus	内眦赘皮	A fold of skin starting above the medial aspect of the upper eyelid and arching downward to cover, pass in front of and lateral to the medial canthus.	校对中...
HP:0000287	Increased facial adipose tissue	面部脂肪组织增多	An increased amount of subcutaneous fat tissue in the face.	校对中...
HP:0000288	Abnormality of the philtrum	人中异常	An abnormality of the philtrum.	校对中...
HP:0000289	Broad philtrum	宽人中	Distance between the philtral ridges, measured just above the vermilion border, more than 2 standard deviations above the mean, or alternatively, an apparently increased distance between the ridges of the philtrum.	校对中...
HP:0000290	Abnormality of the forehead	前额异常	An anomaly of the forehead.	校对中...
HP:0000291	Abnormality of facial adipose tissue	面部脂肪组织异常		
HP:0000292	Loss of facial adipose tissue	面部脂肪组织丢失	Loss of normal subcutaneous fat tissue in the face.	校对中...
HP:0000293	Full cheeks	脸颊丰满	Increased prominence or roundness of soft tissues between zygomata and mandible.	校对中...
HP:0000294	Low anterior hairline	前发际低	Distance between the hairline (trichion) and the glabella (the most prominent point on the frontal bone above the root of the nose), in the midline, more than two SD below the mean. Alternatively, an apparently decreased distance between the hairline and the glabella.	校对中...
HP:0000295	Doll-like facies	娃娃脸	A characteristic facial appearance with a round facial form, full cheeks, a short nose, and a relatively small chin.	校对中...
HP:0000297	Facial hypotonia	面部肌张力低下	Reduced muscle tone of a muscle that is innervated by the facial nerve (the seventh cranial nerve).	校对中...
HP:0000298	Mask-like facies	面具样面容	A lack of facial expression often with staring eyes and a slightly open mouth.	校对中...
HP:0000300	Oval face	卵形脸	A face with a rounded and slightly elongated outline.	校对中...
HP:0000301	Abnormality of facial musculature	面部肌肉异常	An anomaly of a muscle that is innervated by the facial nerve (the seventh cranial nerve).	校对中...
HP:0000303	Mandibular prognathia	下颌前突	Abnormal prominence of the chin related to increased length of the mandible.	校对中...
HP:0000306	Abnormality of the chin	下巴异常	An abnormality of the chin, i.e., of the inferior portion of the face lying inferior to the lower lip and including the central prominence of the lower jaw.	校对中...
HP:0000307	Pointed chin	尖下巴	A marked tapering of the lower face to the chin.	校对中...
HP:0000308	Microretrognathia	下颌小且后移	A form of developmental hypoplasia of the mandible in which the mandible is mislocalised posteriorly.	校对中...
HP:0000309	Abnormality of the midface	面中部异常	An anomaly of the midface, which is a region and not an anatomical term. It extends, superiorly, from the inferior orbital margin to, inferiorly, the level of nasal base. It is formed by the maxilla (upper jaw) and zygoma and cheeks and malar region. Traditionally, the nose and premaxilla are not included in the midface.	校对中...
HP:0000311	Round face	圆脸	The facial appearance is more circular than usual as viewed from the front.	校对中...
HP:0000315	Abnormality of the orbital region	眼眶异常		
HP:0000316	Hypertelorism	眼距过宽	Interpupillary distance more than 2 SD above the mean (alternatively, the appearance of an increased interpupillary distance or widely spaced eyes).	校对中...
HP:0000317	Facial myokymia	面肌颤搐	Facial myokymia is a fine fibrillary activity of one or more muscles innervated by the facial nerve (the seventh cranial nerve).	校对中...
HP:0000319	Smooth philtrum	人中扁平	Flat skin surface, with no ridge formation in the central region of the upper lip between the nasal base and upper vermilion border.	校对中...
HP:0000320	Bird-like facies	鸟样面相		
HP:0000321	Square face	方脸	Facial contours, as viewed from the front, show a broad upper face/cranium and lower face/mandible, creating a square appearance.	校对中...
HP:0000322	Short philtrum	人中短	Distance between nasal base and midline upper lip vermilion border more than 2 SD below the mean. Alternatively, an apparently decreased distance between nasal base and midline upper lip vermilion border.	校对中...
HP:0000324	Facial asymmetry	面部不对称	An abnormal difference between the left and right sides of the face.	校对中...
HP:0000325	Triangular face	三角脸	Facial contour, as viewed from the front, triangular in shape, with breadth at the temples and tapering to a narrow chin.	校对中...
HP:0000326	Abnormality of the maxilla	上颌骨异常	An abnormality of the Maxilla (upper jaw bone).	校对中...
HP:0000327	Hypoplasia of the maxilla	上颌骨发育不全	Abnormally small dimension of the Maxilla. Usually creating a malocclusion or malalignment between the upper and lower teeth or resulting in a deficient amount of projection of the base of the nose and lower midface region.	校对中...
HP:0000329	Facial hemangioma	面部血管瘤	Hemangioma, a benign tumor of the vascular endothelial cells, occurring in the face.	校对中...
HP:0000331	Short chin	短下巴	Decreased vertical distance from the vermilion border of the lower lip to the inferior-most point of the chin.	校对中...
HP:0000336	Prominent supraorbital ridges	眶上嵴突出	Greater than average forward and/or lateral protrusion of the supraorbital portion of the frontal bones.	校对中...
HP:0000337	Broad forehead	宽前额	Width of the forehead or distance between the frontotemporales is more than two standard deviations above the mean (objective); or apparently increased distance between the two sides of the forehead.	校对中...
HP:0000338	Hypomimic face	面具样面容	A reduced degree of motion of the muscles beneath the skin of the face, often associated with reduced facial crease formation.	校对中...
HP:0000339	Pugilistic facies	拳击手面容	Coarse facial features reminiscent of those of a boxer.	校对中...
HP:0000340	Sloping forehead	额头倾斜	Inclination of the anterior surface of the forehead from the vertical more than two standard deviations above the mean (objective); or apparently excessive posterior sloping of the forehead in a lateral view.	校对中...
HP:0000341	Narrow forehead	额头狭窄	Width of the forehead or distance between the frontotemporales is more than two standard deviations below the mean (objective); or apparently narrow intertemporal region (subjective).	校对中...
HP:0000343	Long philtrum	长人中	Distance between nasal base and midline upper lip vermilion border more than 2 SD above the mean. Alternatively, an apparently increased distance between nasal base and midline upper lip vermilion border.	校对中...
HP:0000346	Whistling appearance	吹口哨面容	An abnormality of facial morphology characterized by a small mouth opening and constant contraction of the lips as if the patient were whistling.	校对中...
HP:0000347	Micrognathia	小下颌	Developmental hypoplasia of the mandible.	校对中...
HP:0000348	High forehead	额头高	An abnormally increased height of the forehead.	校对中...
HP:0000349	Widow's peak	美人尖	Frontal hairline with bilateral arcs to a low point in the midline of the forehead.	校对中...
HP:0000350	Small forehead	小额头	The presence of a forehead that is abnormally small.	校对中...
